FID,id,site_id,country,owner,area_name,status,farmtype,prod_method,prod_stage,purpose,species,position_info,point_def,distance_to_shore_m,costal_inland,the_geom,eurostatcode,species_group,species_name,speciesid,x,y
shellfish.4854,221,IE_0825,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,469.15088569,At sea,POINT (-7.58857942399993 52.0586016710001),F53,Oysters,n.a.,128,-7.58857942399993,52.0586016710001
shellfish.4855,222,IE_0826,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,1123.21471283,At sea,POINT (-7.59117230799995 52.077785421),F53,Oysters,n.a.,128,-7.59117230799995,52.077785421
shellfish.4856,224,IE_0827,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,250.03833984,At sea,POINT (-9.67742699099995 53.8867699680001),F53,Oysters,n.a.,128,-9.67742699099995,53.8867699680001
shellfish.4859,227,IE_0831,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,607.14786937,At sea,POINT (-7.29178197699997 55.2903811800001),F53,Oysters,n.a.,128,-7.29178197699997,55.2903811800001
shellfish.4860,228,IE_0832,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,362.08206422,At sea,POINT (-8.37051138299995 54.896035957),F53,Oysters,n.a.,128,-8.37051138299995,54.896035957
shellfish.4861,1611,IE_0833,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,127.51103864,At sea,POINT (-9.68292372699995 53.8903340740001),F53,Oysters,n.a.,128,-9.68292372699995,53.8903340740001
shellfish.4862,1612,IE_0834,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,177.56689829,At sea,POINT (-9.69171289799993 53.889684855),F53,Oysters,n.a.,128,-9.69171289799993,53.889684855
shellfish.4863,1613,IE_0835,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,78.62197638,At sea,POINT (-9.87807270299993 51.6502573070001),F53,Oysters,n.a.,128,-9.87807270299993,51.6502573070001
shellfish.4864,1608,IE_0836,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,242.80266169,At sea,POINT (-7.30062371499997 55.300688644),F53,Oysters,n.a.,128,-7.30062371499997,55.300688644
shellfish.4865,1610,IE_0837,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,437.3889621,At sea,POINT (-6.96704889299997 52.2046595750001),F53,Oysters,n.a.,128,-6.96704889299997,52.2046595750001
