FID,id,site_id,country,owner,area_name,status,farmtype,prod_method,prod_stage,purpose,species,position_info,point_def,distance_to_shore_m,costal_inland,the_geom,eurostatcode,species_group,species_name,speciesid,x,y
shellfish.74,496,DK_0041,Denmark,Mytiline Aps,n.a.,n.a.,Mussels-Oysters,n.a.,Grow out for human consumption,n.a.,"Blue Mussel, European Flat Oyster",Original,Farm,441.17757569,At sea,POINT (8.64679594300003 56.909356626),MUS,Mussels,Blue mussels - Mytilus edulis,127,8.64679594300003,56.909356626
shellfish.75,497,DK_0043,Denmark,Hjarnø Havbrug A/S,n.a.,n.a.,Mussels,n.a.,Grow out for human consumption,n.a.,Blue Mussel,Original,Farm,565.91398736,At sea,POINT (10.0574108550001 55.7963661370001),MUS,Mussels,Blue mussels - Mytilus edulis,127,10.0574108550001,55.7963661370001
shellfish.76,499,DK_0045,Denmark,Seafood Limfjord Aps,n.a.,n.a.,Mussels,n.a.,Grow out for human consumption,n.a.,Blue Mussel,Original,Farm,1119.89717065,At sea,POINT (8.85982443900002 56.836379246),MUS,Mussels,Blue mussels - Mytilus edulis,127,8.85982443900002,56.836379246
shellfish.77,500,DK_0048,Denmark,Seafood Limfjord Aps,n.a.,n.a.,Mussels,n.a.,Grow out for human consumption,n.a.,Blue Mussel,Original,Farm,527.4042334,At sea,POINT (8.96517529700003 56.8157581240001),MUS,Mussels,Blue mussels - Mytilus edulis,127,8.96517529700003,56.8157581240001
shellfish.78,501,DK_0049,Denmark,Musholm A/S,n.a.,n.a.,Mussels,n.a.,Grow out for human consumption,n.a.,Blue Mussel,Original,Farm,1038.65135967,At sea,POINT (11.1068500650001 55.4816273070001),MUS,Mussels,Blue mussels - Mytilus edulis,127,11.1068500650001,55.4816273070001
shellfish.79,502,DK_0050,Denmark,Blå Biomasse A/S,n.a.,n.a.,Mussels,n.a.,Grow out for human consumption,n.a.,Blue Mussel,Original,Farm,560.15130326,At sea,POINT (8.58243407400005 56.558374283),MUS,Mussels,Blue mussels - Mytilus edulis,127,8.58243407400005,56.558374283
shellfish.80,503,DK_0051,Denmark,Hjarnø Havbrug A/S,n.a.,n.a.,Mussels,n.a.,Grow out for human consumption,n.a.,Blue Mussel,Original,Farm,223.46337632,At sea,POINT (9.99710756700006 55.841205233),MUS,Mussels,Blue mussels - Mytilus edulis,127,9.99710756700006,55.841205233
shellfish.81,504,DK_0052,Denmark,Hjarnø Havbrug A/S,n.a.,n.a.,Mussels,n.a.,Grow out for human consumption,n.a.,Blue Mussel,Original,Farm,2617.12678288,At sea,POINT (10.077401015 55.779361952),MUS,Mussels,Blue mussels - Mytilus edulis,127,10.077401015,55.779361952
shellfish.82,506,DK_0053,Denmark,Havhaver i Syddjurs Kommune,n.a.,n.a.,Mussels-Oysters,n.a.,Grow out for human consumption,n.a.,"Blue Mussel, European Flat Oyster",Original,Farm,685.58269806,At sea,POINT (10.59551836 56.2161580120001),MUS,Mussels,Blue mussels - Mytilus edulis,127,10.59551836,56.2161580120001
shellfish.83,508,DK_0056,Denmark,Seafood Limfjord Aps,n.a.,n.a.,Mussels,n.a.,Grow out for human consumption,n.a.,Blue Mussel,Original,Farm,908.75080565,At sea,POINT (8.94786033600008 56.8242444320001),MUS,Mussels,Blue mussels - Mytilus edulis,127,8.94786033600008,56.8242444320001
shellfish.84,509,DK_0057,Denmark,Peter Thøger Stenbro,n.a.,n.a.,Mussels-Oysters,n.a.,Grow out for human consumption,n.a.,"Blue Mussel, European Flat Oyster",Original,Farm,434.67351496,At sea,POINT (8.88614813400005 56.7959813400001),MUS,Mussels,Blue mussels - Mytilus edulis,127,8.88614813400005,56.7959813400001
shellfish.85,510,DK_0059,Denmark,Fjordhaver i Lemvig,n.a.,n.a.,Mussels,n.a.,Grow out for human consumption,n.a.,Blue Mussel,Original,Farm,330.90539693,At sea,POINT (8.33725085100002 56.5797160970001),MUS,Mussels,Blue mussels - Mytilus edulis,127,8.33725085100002,56.5797160970001
shellfish.86,511,DK_0061,Denmark,Muslingeriet v/Mark Lykke,n.a.,n.a.,Mussels,n.a.,Grow out for human consumption,n.a.,Blue Mussel,Original,Farm,330.02149365,At sea,POINT (9.13043188500006 56.681603335),MUS,Mussels,Blue mussels - Mytilus edulis,127,9.13043188500006,56.681603335
shellfish.87,512,DK_0062,Denmark,Fjordhaver i Lemvig,n.a.,n.a.,Mussels,n.a.,Grow out for human consumption,n.a.,Blue Mussel,Original,Farm,105.96519667,At sea,POINT (8.30405154200002 56.551719124),MUS,Mussels,Blue mussels - Mytilus edulis,127,8.30405154200002,56.551719124
shellfish.88,514,DK_0065,Denmark,Shellfish Limfjord Aps,n.a.,n.a.,Mussels,n.a.,Grow out for human consumption,n.a.,Blue Mussel,Original,Farm,667.67784891,At sea,POINT (8.68625605900007 56.6712144320001),MUS,Mussels,Blue mussels - Mytilus edulis,127,8.68625605900007,56.6712144320001
shellfish.89,515,DK_0066,Denmark,Blå Biomasse A/S,n.a.,n.a.,Mussels,n.a.,Grow out for human consumption,n.a.,Blue Mussel,Original,Farm,574.22295878,At sea,POINT (8.64542472400007 56.6386005690001),MUS,Mussels,Blue mussels - Mytilus edulis,127,8.64542472400007,56.6386005690001
shellfish.90,516,DK_0067,Denmark,Blå Biomasse A/S,n.a.,n.a.,Mussels,n.a.,Grow out for human consumption,n.a.,Blue Mussel,Original,Farm,755.01604279,At sea,POINT (8.57952437600005 56.563808915),MUS,Mussels,Blue mussels - Mytilus edulis,127,8.57952437600005,56.563808915
shellfish.91,488,DK_0069,Denmark,Sømad Aps,n.a.,n.a.,Mussels,n.a.,Grow out for human consumption,n.a.,Blue Mussel,Original,Farm,395.92712301,At sea,POINT (8.85703000000007 56.69584495),MUS,Mussels,Blue mussels - Mytilus edulis,127,8.85703000000007,56.69584495
shellfish.92,513,DK_0070,Denmark,Kerteminde Maritime Haver,n.a.,n.a.,Mussels,n.a.,Grow out for human consumption,n.a.,Blue Mussel,Original,Farm,556.9195558,At sea,POINT (10.7108030700001 55.4257478930001),MUS,Mussels,Blue mussels - Mytilus edulis,127,10.7108030700001,55.4257478930001
shellfish.93,518,DK_0071,Denmark,Kerteminde Seafarm Aps,n.a.,n.a.,Mussels,n.a.,Grow out for human consumption,n.a.,Blue Mussel,Original,Farm,818.31265881,At sea,POINT (10.713674752 55.4274691900001),MUS,Mussels,Blue mussels - Mytilus edulis,127,10.713674752,55.4274691900001
shellfish.94,505,DK_0072,Denmark,Pedersen Line Aps,n.a.,n.a.,Mussels,n.a.,Grow out for human consumption,n.a.,Blue Mussel,Original,Farm,2019.87036145,At sea,POINT (10.0575886180001 55.7754723940001),MUS,Mussels,Blue mussels - Mytilus edulis,127,10.0575886180001,55.7754723940001
shellfish.4166,6862,FR_0207,France,n.a.,Seudre-amont,n.a.,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Production area,10566.6555751,Within the coastline,POINT (-0.99419243799997 45.713971771),F53,Oysters,n.a.,128,-0.99419243799997,45.713971771
